smiles,electronic_energy,HOMO_LUMO_gap,dipole_moment,crystal_density,heat_of_formation
CC1=CN(O)C(=O)N=C1[N+]([O-])=O,-658.540988,4.016704276,5.8258,1.646,-40.413
CC1=C(OC(=O)N1N)[N+]([O-])=O,-620.4594446,4.3742647,6.0337,1.658,-64.473
[O-][N+](=O)C1=C(OC=N1)C1CN1,-583.3053845,4.55522184,5.3214,1.577,7.271
CN1C=C(C2=C(N=CC(=O)C2=O)N=N1)[N+]([O-])=O,-882.23642,2.840074692,7.5561,1.695,82.135
OC1=C(N2C(=O)CC2=N1)[N+]([O-])=O,-657.3313221,4.68583752,6.3693,1.767,-31.113
COC1=C(NN=C1[N+]([O-])=O)C#N,-637.4491727,4.886659128,2.2193,1.601,27.722
CC12OC(OC1=O)(C#N)C(=NO)C2(O)C(N)=O,-924.5718699,5.771036128,7.7284,1.737,-162.777
CC1=C(C(N)=O)C(=O)OC(O)=NC(=O)OC=N1,-924.6541239,4.88176104,5.8267,1.708,-203.383
CC1=C(N=NO1)C1=NC(O)=NNC1=O,-731.0184964,3.901327092,4.0519,1.628,-28.301
NC1=CC(O)=C(N)N=C1[N+]([O-])=O,-638.7429811,4.02459564,4.6765,1.68,-40.619
O=C1OC2=NC3=NN=CC3=C2O1,-619.0323005,3.45043088,3.6726,1.806,17.873
CC1OCOC(=O)OC(CC=O)(OC=O)C1=O,-950.7371474,5.32394954,4.286,1.595,-313.995
NNC1=NNC=C1[N+]([O-])=O,-541.3883895,4.112216992,5.3201,1.64,45.518
CC(=N)N1NC=C(C1=O)[N+]([O-])=O,-638.6966424,4.629781624,7.3984,1.63,-9.366
[O-][N+](=O)C1=CC(ON1)=NN1CC1,-638.5597474,3.059400188,2.1007,1.53,76.876
CC(O)(C(=O)OC1=NC=NC(=N)O1)C(=O)C=O,-924.6073682,3.847992356,3.1253,1.602,-174.527
CC(=O)NC(=O)NC1=CN=C(O1)C(=O)C(O)=O,-924.7022351,4.247458644,7.0081,1.68,-239.558
OC1CC2=C(ON=C12)[N+]([O-])=O,-603.0958048,5.096460564,5.3074,1.652,8.035
CON1NC(=O)C=C1[N+]([O-])=O,-620.3791729,3.928810808,3.0762,1.62,-11.352
[O-][N+](=O)C1=C(OC=N1)C#CC=O,-640.026992,4.198205648,2.832,1.633,7.146
CC1=C(OC2=C1N=NN2)[N+]([O-])=O,-637.4342775,4.496172668,2.5536,1.67,40.062
NC1=C(ON=C1[N+]([O-])=O)C=O,-619.2137104,3.688804496,2.47,1.694,-24.673
CC(O)(CN1N=NC2=C1ON=N2)C(N)C(O)=O,-902.1031319,3.908674224,4.2094,1.575,-76.64
CN1C=C(O)C(O)=C1[N+]([O-])=O,-604.4294626,3.826223076,3.4298,1.612,-78.821
CC1=NN=NC(=O)C(=C1)[N+]([O-])=O,-637.3946307,3.595196592,5.4031,1.572,65.491
OC1=CON=C1[N+]([O-])=O,-525.7427949,4.084189044,3.017,1.753,-29.93
ON1C=C2C(=O)NC2=C1[N+]([O-])=O,-657.2453011,3.683634292,1.7173,1.73,26.841
CC1=C(NC(=O)N=C(OC=N1)[N+]([O-])=O)OC=N,-920.6453369,3.503221384,4.8868,1.641,-29.174
CC12NC(=O)C(O)(C(O)=O)C1(OC=O)C2O,-891.5778327,6.275811308,2.703,1.679,-285.01
NNC1=CC(=CN=N1)[N+]([O-])=O,-579.472814,3.780507588,5.6732,1.611,68.427
NC1=COC(=C1O)[N+]([O-])=O,-565.1027067,3.949491624,5.5586,1.72,-69.85
CC1=NC(N=CN)=C(O)N=CN=C(O1)[N+]([O-])=O,-900.7601186,2.605782816,5.4466,1.605,26.116
CC(C)OC1=C(N=NO1)[N+]([O-])=O,-659.7568044,4.819718592,2.9413,1.442,-58.717
C1OC2=CNN=C2COC2=NC(O1)=NO2,-790.1292078,6.19336016,5.5104,1.712,-28.453
